identity_id,family_candidate,source_artifact_path,risk_class,aggregate_risk_score,critical_dimensions,granularity_class
CTX_ASTRO_RESEARCH_EXECUTION_DAL_ASTRODOCTRINECONTEXT_8749C1D8_V1,ASTRO_RESEARCH_EXECUTION,mql5/Include/Research/DAL_AstroDoctrineContext.mqh,MODERATE,36,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_ASTRO_RESEARCH_EXECUTION_DAL_ASTROEXECUTIONSTATEMACHINE_AD983AAD_V1,ASTRO_RESEARCH_EXECUTION,mql5/Include/Research/DAL_AstroExecutionStateMachine.mqh,MODERATE,36,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0015_INTERMARKET_TIME_DAL_IMDENGINE_EE4C4557_V1,EXP0015_INTERMARKET_TIME,mql5/Include/IntermarketDivergence/DAL_IMDEngine.mqh,MODERATE,47,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0015_INTERMARKET_TIME_DAL_IMDJOURNAL_264AAC22_V1,EXP0015_INTERMARKET_TIME,mql5/Include/IntermarketDivergence/DAL_IMDJournal.mqh,MODERATE,45,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0015_INTERMARKET_TIME_DAL_IMDLEVELS_6623D305_V1,EXP0015_INTERMARKET_TIME,mql5/Include/IntermarketDivergence/DAL_IMDLevels.mqh,MODERATE,48,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0015_INTERMARKET_TIME_DAL_IMDSERIES_37742F2E_V1,EXP0015_INTERMARKET_TIME,mql5/Include/IntermarketDivergence/DAL_IMDSeries.mqh,HIGH,69,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0015_INTERMARKET_TIME_DAL_IMDTYPES_AB975835_V1,EXP0015_INTERMARKET_TIME,mql5/Include/IntermarketDivergence/DAL_IMDTypes.mqh,MODERATE,48,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0015_INTERMARKET_TIME_EXPERIMENT_3CD87586_V1,EXP0015_INTERMARKET_TIME,lab/03_experiments/EXP0015_intermarket_time_divergence/experiment.py,HIGH,58,[],PACKAGE_CONTEXT
CTX_EXP0015_INTERMARKET_TIME_IMD001_CANDLESESSIONDIVERGENCE_1A976C20_V1,EXP0015_INTERMARKET_TIME,mql5/Experts/IntermarketDivergence/IMD001_CandleSessionDivergence.mq5,HIGH,59,[],COMPOSITE_CONTEXT_SHELL
CTX_EXP0015_INTERMARKET_TIME_IMD001_SPX_NDX_TIMEDIVERGENCE_CB31FEAE_V1,EXP0015_INTERMARKET_TIME,mql5/Experts/IntermarketDivergence/IMD001_SPX_NDX_TimeDivergence.mq5,HIGH,60,[],COMPOSITE_CONTEXT_SHELL
CTX_EXP0017_CYCLE_GROUP_CGC_DISPLAY_13FC5853_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGC_Display.mqh,HIGH,63,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGC_TYPES_FBB19C0E_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGC_Types.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
CTX_EXP0017_CYCLE_GROUP_CGD_DISPLAY_98872046_V1,EXP0017_CYCLE_GROUP,mql5/Include/IntermarketDivergenceExecution/CG/CGD_Display.mqh,MODERATE,51,[],EMBEDDED_CONTEXT_FRAGMENT
